fuel,color,label
Lost load,#d98286,Lost load
Lost gen,#d98286,Lost gen
WindOnshore,#519683,Wind onshore
WindOffshore,#21685a,Wind offshore
SolarPV,#fec010,Solar PV
Biomass,#7cb342,Biomass
RoR,#2e5ab8,RoR
Hydro,#5f84d4,PHS
Geothermal,#d727ab,Geothermal
NaturalGas,#ee7e30,Natural gas
Nuclear,#ae393f,Nuclear
Lignite,#916031,Lignite
HardCoal,#3c291e,Hard coal
Oil(light),#a9a9a9,Oil (light)
Oil(heavy),#5e5e5e,Oil (heavy)
Waste,#844488,Waste
OtherFuels,#191919,Other fuels
SNG,#18d4f0,SNG
PtG,#12a7cc,PtG
