unit,node,technology,fuel,power,efficiency,storage,varcost,latitude,longitude
BNA0046,79,PumpedStorage,Hydro,360,0.7497674,2520,0,47.565416,7.954035
BNA0228,224,PumpedStorage,Hydro,143,0.7497851,1001,0,51.167139,9.046832
BNA0229,224,PumpedStorage,Hydro,480,0.7500461,3360,0,51.167139,9.046832
BNA0268,179,PumpedStorage,Hydro,138,0.7492502,690,0,51.22475,7.99281
BNA0279,266,PumpedStorage,Hydro,43,0.7491484,301,0,48.6693835,8.353047617
BNA0327,412,PumpedStorage,Hydro,119.1,0.7496873,534,0,53.42605,10.3359
BNA0337,233,PumpedStorage,Hydro,164,0.7504381,1148,0,50.05313,9.58137
BNA0350,330,PumpedStorage,Hydro,1052,0.7500866,8500,0,50.50975864,11.02087498
BNA0426,285,PumpedStorage,Hydro,100,0.7495779,463,0,47.75459,8.18787
BNA0443,177,PumpedStorage,Hydro,153,0.7509228,590,0,51.41048,7.45314
BNA0465,332,PumpedStorage,Hydro,59.8,0.7492859,600,0,50.61433423,11.49212837
BNA0467,331,PumpedStorage,Hydro,317.8,0.7506191,2088,0,50.60384898,11.47517681
BNA0558,218,PumpedStorage,Hydro,220,0.7500223,940,0,51.89912,9.92452
BNA0652,342,PumpedStorage,Hydro,1045.2,0.7508621,4020,0,50.51938,12.87976
BNA0669,277,PumpedStorage,Hydro,90,0.7493812,560,0,48.50499,9.28692
BNA0721,351,PumpedStorage,Hydro,39.8,0.7494436,790,0,51.09153428,13.60982895
BNA0777,50,PumpedStorage,Hydro,247,0.7502922,1729,0,46.96845,10.05986
BNA0778,50,PumpedStorage,Hydro,525,0.7500273,3675,0,46.96845,10.05986
BNA0882,332,PumpedStorage,Hydro,79.8,0.7495485,800,0,50.52438482,11.71438694
BNA0946a,325,PumpedStorage,Hydro,28,0.749684,88,0,49.55226,12.28127
BNA0953,325,PumpedStorage,Hydro,99,0.7496561,312,0,49.53002,12.28481
BNA0954,50,PumpedStorage,Hydro,238,0.75054,1666,0,47.074251,9.874652
BNA0972,305,PumpedStorage,Hydro,49,0.7496003,250,0,47.873938,11.87099
BNA0973,305,PumpedStorage,Hydro,49.8,0.750913,300,0,47.873938,11.87099
BNA0974,50,PumpedStorage,Hydro,198,0.7506137,1386,0,47.084667,9.881156
BNA0975,50,PumpedStorage,Hydro,295,0.7493539,2065,0,47.084821,9.874559
BNA0987,235,PumpedStorage,Hydro,596,0.7496403,2218,0,49.95209356,6.178855501
BNA1003,285,PumpedStorage,Hydro,150,0.7505639,402,0,47.61777,8.1926
BNA1019,282,PumpedStorage,Hydro,910,0.749661,6370,0,47.64529898,7.91819945
BNA1031,335,PumpedStorage,Hydro,79.7,0.7498348,522,0,51.74223,10.91879
BNA1071,284,PumpedStorage,Hydro,220,0.7506852,636,0,47.68791,8.25159
BNA1675,234,PumpedStorage,Hydro,500,0.7495097,2407,0,49.945331,6.193905
